"Table. Pregnancy, live-birth, induced-abortion, and fetal-loss rates, by age and race and Hispanic origin of",,,,,,,,,,,,,,,,,
"woman: United States, 1990–2010",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"[Rates are pregnancy outcomes per 1,000 women in specified group, estimated as of April 1 for 1990, 2000, and 2010 and as of",,,,,,,,,,,,,,,,,
July 1 for all other years],,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Race and Hispanic,,,,,,Age of woman,,,,,,,,,,,
origin  and year,,,,,,15-19 years,,,,,,,,,,,
,,,,Under 15,,15-17,18-19,20-24,25-29,30-34,35-39,40-44,,,,,
,,,Total 1/,years 2/,Total,years,years,years,years,years,years,years 3/,,,,,
All races 4/,,,,,,,,,,,,,,,,,
All pregnancies:,,,,,,,,,,,,,,,,,
2010,,,98.7 ,1.1 ,58.9 ,32.2 ,96.8 ,144.6 ,157.1 ,136.5 ,76.5 ,19.4 ,,,,,
2009,,,102.1 ,1.2 ,65.3 ,36.4 ,106.3 ,153.8 ,162.0 ,138.0 ,77.0 ,19.2 ,,,,,
2008,,,105.5 ,1.4 ,69.8 ,39.5 ,114.2 ,163.0 ,167.9 ,141.2 ,78.5 ,18.8 ,,,,,
2007,,,107.0 ,1.5 ,71.9 ,40.6 ,119.6 ,167.5 ,171.8 ,142.5 ,79.5 ,18.3 ,,,,,
2006,,,106.6 ,1.5 ,72.1 ,40.9 ,120.2 ,169.0 ,172.9 ,140.8 ,79.7 ,18.0 ,,,,,
2005,,,103.7 ,1.6 ,70.2 ,40.2 ,116.2 ,163.4 ,170.5 ,137.5 ,77.7 ,17.5 ,,,,,
2004,,,104.1 ,1.6 ,71.9 ,41.4 ,117.6 ,164.8 ,174.5 ,135.1 ,77.2 ,17.3 ,,,,,
2003,,,103.7 ,1.6 ,73.6 ,42.9 ,119.9 ,166.6 ,172.0 ,136.6 ,73.7 ,16.8 ,,,,,
2002,,,102.6 ,1.7 ,76.3 ,44.5 ,124.4 ,168.9 ,170.0 ,133.0 ,70.4 ,16.2 ,,,,,
2001,,,103.1 ,1.8 ,80.8 ,47.1 ,130.8 ,173.7 ,169.1 ,131.9 ,68.8 ,15.7 ,,,,,
2000,,,104.5 ,2.0 ,85.8 ,51.6 ,135.8 ,180.7 ,168.9 ,131.1 ,67.5 ,15.4 ,,,,,
1999,,,102.2 ,2.1 ,86.9 ,53.1 ,136.6 ,177.8 ,166.0 ,125.1 ,64.7 ,14.6 ,,,,,
1998,,,102.2 ,2.3 ,90.1 ,56.7 ,140.3 ,178.9 ,164.7 ,122.4 ,63.3 ,14.4 ,,,,,
1997,,,101.6 ,2.4 ,92.7 ,59.5 ,144.3 ,178.7 ,162.5 ,119.5 ,61.4 ,13.9 ,,,,,
