"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Induced abortions:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",47.7,1.7,36.8,22.1,57.6,90.2,74.4,48.4,23.4,6.6
"3","2009",49.8,1.8,40.3,24.8,62.4,93.8,78.7,50.4,24,6.6
"4","2008",51.5,2,43.4,26.7,68.2,97.7,80.1,52,25,6.9
"5","2007",50.6,2.1,43.1,26.8,68.8,96.7,79.8,50.5,24.5,6.8
"6","2006",52.7,2,45.2,28.3,72.5,100.4,85.1,52.7,25.4,6.9
"7","2005",51.8,2.2,44.9,28.3,71.5,98.3,84.5,51.5,24.5,7
"8","2004",52.2,2.2,46.4,29.6,72.6,100.6,85,50.8,23.8,7
"9","2003",53.1,2.4,48.1,31.2,74.4,104.6,87.2,51,22.7,6.5
"10","2002",54.4,2.4,50.2,32.2,78.1,108.8,88.8,50.9,23.1,6.8
"11","2001",55.5,2.6,53,33.3,82.7,113,90,51.1,22.9,6.5
"12","2000",57.4,2.9,57.4,37.3,86.8,120.2,89.9,50.7,23,6.6
"13","1999",57.2,3,58.1,36.7,89.4,120.8,90.3,49,22.7,6.3
"14","1998",56.5,3.2,58.6,38,89,120.3,89,47,21.9,6.2
"15","1997",57.5,3.2,61.3,39.5,95,122.7,89.3,46.6,22,6.2
"16","1996",58.6,3.8,64.1,42.4,97.9,125.3,88.9,46.1,21.9,6.4
"17","1995",56.7,3.9,64.6,44.6,96,118.9,82.8,44.3,21.4,6.1
"18","1994",61.1,4.6,71.2,49.1,105.8,129.2,85.9,45.7,22.3,6.2
"19","1993",65,4.8,76.9,52.6,113.5,137.7,88.8,47.9,23.1,6.3
"20","1992",65.9,5.1,78.6,53.5,115.2,137.6,88.4,47.7,23.4,6.2
"21","1991",65.5,5.1,80,54.5,115,135.4,85.4,46.8,22.9,6.2
