"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Induced abortions:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",20.3,0.5,15.4,8.6,25.5,38.8,29.7,19.4,10.9,4.2
"3","2009",21.8,0.6,17.5,9.8,29.1,41.7,31.9,20.3,11.2,4.4
"4","2008",23.8,0.6,20.1,11.7,33.2,46.4,34,21.1,12,4.3
"5","2007",24.8,0.6,22.1,13,36.7,47.7,35.5,21.5,12.4,4.6
"6","2006",26.2,0.7,22.9,13.4,38.1,50.6,37.9,22.7,12.7,4.8
"7","2005",25.7,0.7,22.9,13.6,37.4,49.5,36.7,22,12.3,4.5
"8","2004",27.2,0.7,25.7,15.1,41.7,52.8,37.6,22.8,12.6,4.7
"9","2003",28.2,0.7,25.7,15.1,41.6,54.1,38.7,23.9,13.3,5.3
"10","2002",29.4,0.8,27,16,43.3,56.6,39.6,25,13.9,5.4
"11","2001",29.6,0.9,28,16.6,44.4,56.7,39.2,25,13.9,5.3
"12","2000",30.6,1,30.3,18.4,47.3,58.6,40.5,25.2,13.8,5
"13","1999",31.4,1,32.1,20.2,49.1,60.3,41.5,25.2,14.1,5
"14","1998",31.6,1.1,33.7,21.5,51.6,60.1,41.6,24.6,14,5
"15","1997",30.7,1.1,32.7,20.3,51.4,58.8,40.8,23.7,13.4,4.9
"16","1996",31.9,1.2,35.7,22.9,54.9,60.9,41.6,24.1,14,4.8
"17","1995",32.2,1.2,35.8,23.5,54,62.1,40.8,24.4,14.3,5
"18","1994",35.4,1.4,39,26.1,58,68.2,44.1,26.8,15.6,5.7
"19","1993",36.4,1.4,39.7,25.5,60.7,70.4,45,27.6,15.4,5.4
"20","1992",38.8,1.5,41.6,26.8,63.3,73.9,47.3,29.9,17.2,5.9
"21","1991",35.8,1.4,39.6,24.2,61.7,67.4,43.6,26.8,15.4,5.2
