"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Induced abortions:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",9.8,0.2,8.5,4.6,14,19.4,13.9,9.1,5.8,2.5
"3","2009",10.2,0.2,9.6,5.3,15.5,20.8,14,9.1,6.1,2.4
"4","2008",10.9,0.2,10.4,5.7,17,22.5,15.3,9.7,6.1,2.2
"5","2007",10.8,0.2,10.8,6,18,22.6,15.2,9.5,6,2.2
"6","2006",10.9,0.2,11,6.2,18.4,22.9,15.3,9.5,6.3,2.2
"7","2005",10.6,0.3,11.1,6.1,18.7,22.4,14.9,9.4,6.1,2.2
"8","2004",10.6,0.3,11.4,6.3,19,22.4,15.1,9.5,5.8,2.1
"9","2003",10.9,0.3,12.3,7.2,20.1,23.3,15.3,9.8,5.9,2.2
"10","2002",10.9,0.3,12.7,7.3,21,23.4,15.5,9.9,5.7,2.2
"11","2001",11.3,0.3,13.9,8,22.7,24.9,15.7,10,5.8,2.1
"12","2000",11.7,0.3,14.8,8.5,24.1,26,16.2,10.2,6,2.2
"13","1999",11.9,0.4,15.5,9.4,24.6,26.3,16.6,10.2,6.1,2.2
"14","1998",12.5,0.4,16.9,10.7,26.3,27.7,17.5,10.4,6.3,2.2
"15","1997",13.2,0.5,18.6,11.8,29.1,29.4,18.3,10.7,6.4,2.2
"16","1996",13.6,0.5,19.3,12.6,29.8,30.3,18.8,10.8,6.7,2.3
"17","1995",14.2,0.6,20.5,13.4,31.6,31.6,19.3,11.1,6.7,2.3
"18","1994",14.8,0.6,21.8,14.1,33.7,33.2,19.2,11.4,6.7,2.3
"19","1993",16.1,0.6,24,15.4,36.9,36.2,20.4,11.9,7.1,2.3
"20","1992",16.7,0.7,25.3,16,38.9,37.5,20.8,12.2,7.2,2.3
"21","1991",18.1,0.7,28.7,18.3,43,40,22.2,13,7.5,2.2
