"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","2010",64.1,0.4,34.2,17.3,58.2,90,108.3,96.5,45.9,10.9
"2","2009",66.2,0.5,37.9,19.6,64,96.2,111.5,97.5,46.1,10.8
"3","2008",68.1,0.6,40.2,21.1,68.2,101.8,115,99.4,46.8,10.6
"4","2007",69.3,0.6,41.5,21.7,71.7,105.4,118.1,100.6,47.6,10.2
"5","2006",68.6,0.6,41.1,21.6,71.2,105.5,118,98.9,47.5,10
"6","2005",66.7,0.6,39.7,21.1,68.4,101.8,116.5,96.7,46.4,9.7
"7","2004",66.4,0.6,40.5,21.7,68.7,102.1,119.4,94.7,46.2,9.6
"8","2003",66.1,0.6,41.1,22.2,69.6,102.3,116.7,95.7,43.9,9.3
"9","2002",65,0.7,42.6,23.1,72.2,103.1,114.7,92.6,41.6,8.8
"10","2001",65.1,0.8,45,24.5,75.5,105.6,113.8,91.8,40.5,8.5
"11","2000",65.9,0.9,47.7,26.9,78.1,109.7,113.5,91.2,39.7,8.4
"12","1999",64.4,0.9,48.8,28.2,79.1,107.9,111.2,87.1,37.8,7.8
"13","1998",64.3,1,50.3,29.9,80.9,108.4,110.2,85.2,36.9,7.7
"14","1997",63.6,1.1,51.3,31.4,82.1,107.3,108.3,83,35.7,7.4
"15","1996",64.1,1.2,53.5,33.3,84.7,107.8,108.6,82.1,34.9,7.1
"16","1995",64.6,1.3,56,35.5,87.7,107.5,108.8,81.1,34,6.8
"17","1994",65.9,1.4,58.2,37.2,90.2,109.2,111,80.4,33.4,6.6
"18","1993",67,1.4,59,37.5,91.1,111.3,113.2,79.9,32.7,6.3
"19","1992",68.4,1.4,60.3,37.6,93.6,113.7,115.7,79.6,32.3,6.1
"20","1991",69.3,1.4,61.8,38.6,94,115.3,117.2,79.2,31.9,5.7
"21","1990",70.9,1.4,59.9,37.5,88.6,116.5,120.2,80.8,31.7,5.6
