"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Live births:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",66.6,1,51.5,27.4,85.6,119.4,102.5,73.6,36.4,10
"3","2009",68.9,1.1,56.8,31,93.5,125.9,106,73.9,36.1,9.5
"4","2008",70.8,1.4,60.4,33.6,100,131.5,108.8,75.3,36.3,9.3
"5","2007",71.4,1.4,62,34.6,105.2,134.5,110.5,74.7,36.2,9.2
"6","2006",70.7,1.5,61.9,38.1,105,134.4,110,73.2,35.9,8.8
"7","2005",67.2,1.6,59.4,34.1,100.2,127.9,105.5,68.8,34.2,8.7
"8","2004",67.1,1.6,61.8,36.4,101.5,127.8,104.9,67.8,33.6,8.2
"9","2003",67.1,1.6,63.7,38.2,103.4,128.8,103.9,67.7,33.4,8.1
"10","2002",67.5,1.9,67.7,40.6,109.5,131.4,103.1,66.5,32.1,7.9
"11","2001",69.1,2.1,73.1,44.8,115.8,137.3,102.7,66.4,32,7.6
"12","2000",71.4,2.4,79.2,50.1,121.9,145.4,102.8,66.5,31.8,7.5
"13","1999",69.9,2.6,81,51.7,123.9,142.1,99.8,63.9,30.6,6.8
"14","1998",70.9,2.9,85.7,56.8,128.2,142.5,99.9,64.4,30.4,6.9
"15","1997",70.3,3.2,88.3,60.7,131,138.8,97.2,63.6,29.6,6.8
"16","1996",70.7,3.6,91.9,64.8,134.1,137,96.7,63.2,29.1,6.4
"17","1995",72.8,4.2,97.2,70.4,139.2,137.8,98.5,64.4,28.8,6.3
"18","1994",77.5,4.6,105.7,77,150.4,146.8,104.1,66.3,29.1,6.2
"19","1993",81.5,4.6,110.5,81.1,154.6,154.5,109.2,68.1,29.4,6.1
"20","1992",84.5,4.8,114.7,82.9,161,160.8,112.8,68.4,29.1,5.8
"21","1991",87,4.9,118.2,86.1,162.2,164.8,115.1,68.9,28.7,5.7
