"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Live births:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",58.7,0.2,23.5,10,42.5,74.9,105.8,99.9,44.1,9.9
"3","2009",59.6,0.2,25.7,11,46.2,79.2,107.1,99.7,44.4,9.8
"4","2008",60.5,0.2,26.7,11.6,48.6,82.8,109.7,100.8,45.2,9.6
"5","2007",61,0.2,27.2,11.9,50.4,85.1,112,101.5,46.3,9.3
"6","2006",60.3,0.2,26.7,11.8,49.4,85.1,112.2,100,46.8,9.1
"7","2005",59,0.2,26,11.5,48,82.7,111.7,98.4,46,8.9
"8","2004",58.9,0.2,26.7,12,48.6,83,112.1,98.3,45.1,8.8
"9","2003",58.9,0.2,27.4,12.4,50,84.1,112.7,98.4,43.5,8.6
"10","2002",57.6,0.2,28.6,13.1,52,84.7,110.3,95,40.9,8.1
"11","2001",57.7,0.3,30.3,14,54.7,87,109.6,94.3,39.8,7.9
"12","2000",58.5,0.3,32.6,15.8,57.5,91.2,109.4,93.2,38.8,7.7
"13","1999",57.7,0.3,34.1,17.1,59.4,90.6,108.6,89.5,37.3,7.3
"14","1998",57.6,0.3,35.3,18.3,60.9,91.2,107.4,87.2,36.4,7.1
"15","1997",56.8,0.4,36,19.3,62.1,90,104.8,84.3,34.8,6.8
"16","1996",57.1,0.4,37.6,20.6,64,90.1,104.9,82.8,33.9,6.5
"17","1995",57.5,0.4,39.3,22,66.2,90.2,105.1,81.5,32.8,6.1
"18","1994",58.2,0.5,40.4,22.7,67.6,90.9,106.6,80.2,32,5.9
"19","1993",58.9,0.5,40.7,22.7,67.7,92.2,108.2,79,31,5.6
"20","1992",60,0.5,41.6,22.7,69.7,93.8,110.7,78.3,30.4,5.3
"21","1991",60.9,0.5,43.3,23.6,70.5,95.7,112.2,77.7,30.2,4.8
