All pregnancies:,,,,,,,,,,
2010,135.1,3.2,103.4,59.8,165.1,239,202.6,151.7,79.6,21.9
2009,140.2,3.3,113.7,67.3,179.9,250.7,211.2,154.1,79.8,21.3
2008,144.3,3.8,121.6,72.8,193.8,261.6,216.2,157.7,81.1,21.3
2007,144.2,4.1,123.5,74.4,200.9,264.3,218,155.5,80.4,21
2006,145.9,4.1,128,80.6,204.5,267.9,222.6,155.5,80.8,20.5
2005,140,4.4,122.1,75.2,197.3,257.6,216.4,148.2,77.3,20.4
2004,140.2,4.4,126.7,79.7,200.2,259.9,216.2,146.1,75.7,19.7
2003,141.2,4.5,130.9,83.7,204.3,265,217.2,146.2,74.2,19
2002,143,5,138.2,88.1,215.7,272.5,217.8,144.3,72.6,19
2001,146.2,5.5,148,94.8,228.2,284,218.5,144.4,72.4,18.3
2000,151,6.2,160.5,106.2,239.9,301.4,218.5,144.1,72.2,18.3
1999,148,6.4,161.9,106.4,242.9,298.9,214.6,134.8,70.3,16.9
1998,148.7,7,168.4,114.5,247.8,299.1,213.4,133.5,69.1,17
1997,148.9,7.6,174.7,121.3,257.3,296.7,210.2,132,68,16.7
1996,150.5,8.6,182.2,129.7,264,297.1,209.3,130.9,67.1,16.3
1995,151.3,9.6,189.6,139.4,268.4,291.7,205.3,130.8,66.3,15.8
1994,161.7,10.9,207.3,152.9,292.2,313.3,215.4,134.7,67.6,15.8
1993,170.6,11.1,219,161.9,305.1,331.5,224.7,139.3,68.9,15.8
1992,175.2,11.5,226,165.2,314.8,339.3,228.8,139.6,68.7,15.2
1991,177.9,11.7,231.8,170.5,316,342.1,228.8,139.2,67.6,15.1
1990,181.8,12.2,232.7,172,312.6,340.2,232.7,141.7,68,15.3
Live births:,,,,,,,,,,
2010,66.6,1,51.5,27.4,85.6,119.4,102.5,73.6,36.4,10
2009,68.9,1.1,56.8,31,93.5,125.9,106,73.9,36.1,9.5
2008,70.8,1.4,60.4,33.6,100,131.5,108.8,75.3,36.3,9.3
2007,71.4,1.4,62,34.6,105.2,134.5,110.5,74.7,36.2,9.2
2006,70.7,1.5,61.9,38.1,105,134.4,110,73.2,35.9,8.8
2005,67.2,1.6,59.4,34.1,100.2,127.9,105.5,68.8,34.2,8.7
2004,67.1,1.6,61.8,36.4,101.5,127.8,104.9,67.8,33.6,8.2
2003,67.1,1.6,63.7,38.2,103.4,128.8,103.9,67.7,33.4,8.1
2002,67.5,1.9,67.7,40.6,109.5,131.4,103.1,66.5,32.1,7.9
2001,69.1,2.1,73.1,44.8,115.8,137.3,102.7,66.4,32,7.6
2000,71.4,2.4,79.2,50.1,121.9,145.4,102.8,66.5,31.8,7.5
1999,69.9,2.6,81,51.7,123.9,142.1,99.8,63.9,30.6,6.8
1998,70.9,2.9,85.7,56.8,128.2,142.5,99.9,64.4,30.4,6.9
1997,70.3,3.2,88.3,60.7,131,138.8,97.2,63.6,29.6,6.8
1996,70.7,3.6,91.9,64.8,134.1,137,96.7,63.2,29.1,6.4
1995,72.8,4.2,97.2,70.4,139.2,137.8,98.5,64.4,28.8,6.3
1994,77.5,4.6,105.7,77,150.4,146.8,104.1,66.3,29.1,6.2
1993,81.5,4.6,110.5,81.1,154.6,154.5,109.2,68.1,29.4,6.1
1992,84.5,4.8,114.7,82.9,161,160.8,112.8,68.4,29.1,5.8
1991,87,4.9,118.2,86.1,162.2,164.8,115.1,68.9,28.7,5.7
1990,89,5,116.2,84.9,157.5,165.2,118.3,70.2,28.6,5.8
Induced abortions:,,,,,,,,,,
2010,47.7,1.7,36.8,22.1,57.6,90.2,74.4,48.4,23.4,6.6
2009,49.8,1.8,40.3,24.8,62.4,93.8,78.7,50.4,24,6.6
2008,51.5,2,43.4,26.7,68.2,97.7,80.1,52,25,6.9
2007,50.6,2.1,43.1,26.8,68.8,96.7,79.8,50.5,24.5,6.8
2006,52.7,2,45.2,28.3,72.5,100.4,85.1,52.7,25.4,6.9
2005,51.8,2.2,44.9,28.3,71.5,98.3,84.5,51.5,24.5,7
2004,52.2,2.2,46.4,29.6,72.6,100.6,85,50.8,23.8,7
2003,53.1,2.4,48.1,31.2,74.4,104.6,87.2,51,22.7,6.5
2002,54.4,2.4,50.2,32.2,78.1,108.8,88.8,50.9,23.1,6.8
2001,55.5,2.6,53,33.3,82.7,113,90,51.1,22.9,6.5
2000,57.4,2.9,57.4,37.3,86.8,120.2,89.9,50.7,23,6.6
1999,57.2,3,58.1,36.7,89.4,120.8,90.3,49,22.7,6.3
1998,56.5,3.2,58.6,38,89,120.3,89,47,21.9,6.2
1997,57.5,3.2,61.3,39.5,95,122.7,89.3,46.6,22,6.2
1996,58.6,3.8,64.1,42.4,97.9,125.3,88.9,46.1,21.9,6.4
1995,56.7,3.9,64.6,44.6,96,118.9,82.8,44.3,21.4,6.1
1994,61.1,4.6,71.2,49.1,105.8,129.2,85.9,45.7,22.3,6.2
1993,65,4.8,76.9,52.6,113.5,137.7,88.8,47.9,23.1,6.3
1992,65.9,5.1,78.6,53.5,115.2,137.6,88.4,47.7,23.4,6.2
1991,65.5,5.1,80,54.5,115,135.4,85.4,46.8,22.9,6.2
1990,67,5.4,83.5,57.7,117.4,133.1,85.4,47.5,23.5,6.4
Fetal losses 5/:,,,,,,,,,,
2010,20.9,0.4,15.1,10.3,21.9,29.3,25.7,29.8,19.8,5.4
2009,21.5,0.4,16.7,11.6,24,31,26.6,29.9,19.7,5.2
2008,22.1,0.5,17.8,12.6,25.6,32.3,27.3,30.5,19.8,5.1
2007,22.2,0.5,18.4,13,26.9,33.1,27.7,30.2,19.7,5
2006,22.1,0.6,19.1,14.3,26.9,33,27.6,29.6,19.5,4.8
2005,21,0.6,17.7,12.8,25.7,31.4,26.4,27.9,18.6,4.7
2004,21,0.6,18.5,13.7,26,31.4,26.3,27.4,18.3,4.5
2003,21,0.6,19.1,14.3,26.5,31.6,26.1,27.4,18.2,4.4
2002,21.1,0.7,20.3,15.2,28.1,32.3,25.9,26.9,17.5,4.3
2001,21.6,0.8,21.9,16.8,29.7,33.8,25.8,26.9,17.4,4.1
2000,22.2,0.9,23.8,18.8,31.2,35.7,25.8,26.9,17.3,4.1
1999,20.9,0.9,22.7,18,29.6,36.1,24.4,21.9,17,3.8
1998,21.3,1,24.1,19.7,30.7,36.2,24.5,22.1,16.9,3.9
1997,21.1,1.1,25.1,21.1,31.3,35.3,23.8,21.8,16.4,3.8
1996,21.2,1.3,26.2,22.5,32.1,34.8,23.7,21.6,16.2,3.5
1995,21.8,1.5,27.9,24.4,33.3,35,24.1,22,16,3.5
1994,23.1,1.6,30.4,26.8,36,37.3,25.5,22.7,16.2,3.4
1993,24.1,1.6,31.7,28.2,37,39.3,26.7,23.3,16.4,3.4
1992,24.8,1.7,32.7,28.8,38.5,40.9,27.6,23.4,16.2,3.2
1991,25.4,1.7,33.7,29.9,38.8,41.9,28.2,23.6,16,3.2
1990,25.8,1.7,33,29.5,37.7,42,29,24,15.9,3.2
