"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","2010",16.9,0.2,10,6.5,14.9,20.3,22.8,22.7,21,5
"2","2009",17.4,0.2,11.1,7.3,16.4,21.6,23.4,22.9,21.1,4.9
"3","2008",17.9,0.2,11.8,7.9,17.5,22.9,24.2,23.3,21.5,4.8
"4","2007",18.2,0.2,12.2,8.1,18.4,23.7,24.8,23.6,21.8,4.7
"5","2006",18.1,0.2,12.1,8.1,18.3,23.7,24.8,23.2,21.8,4.6
"6","2005",17.6,0.2,11.7,7.9,17.5,22.9,24.5,22.6,21.2,4.4
"7","2004",17.6,0.2,11.9,8.1,17.6,22.9,25.1,22,21.2,4.4
"8","2003",17.4,0.2,12.1,8.3,17.8,23,24.5,22.3,20.1,4.2
"9","2002",17.1,0.3,12.6,8.7,18.5,23.1,24.1,21.6,19.1,4
"10","2001",17.1,0.3,13.3,9.2,19.4,23.7,23.9,21.4,18.6,3.9
"11","2000",17.3,0.3,14.1,10.1,20,24.6,23.9,21.2,18.2,3.8
"12","1999",16.5,0.3,13.5,9.8,18.9,23.5,23,19.8,17.2,3.6
"13","1998",16.4,0.3,14,10.4,19.4,23.6,22.8,19.3,16.8,3.5
"14","1997",16.2,0.4,14.3,10.9,19.6,23.3,22.4,18.8,16.2,3.4
"15","1996",16.3,0.4,15,11.6,20.3,23.4,22.5,18.6,15.9,3.2
"16","1995",16.3,0.5,15.7,12.3,21,23.3,22.6,18.4,15.5,3.1
"17","1994",16.6,0.5,16.3,12.9,21.6,23.7,23,18.2,15.2,3
"18","1993",16.7,0.5,16.5,13,21.8,24.2,23.5,18.1,14.9,2.9
"19","1992",17,0.5,16.8,13,22.4,24.7,24,18.1,14.7,2.8
"20","1991",17.1,0.5,17.2,13.4,22.5,25.1,24.3,18,14.5,2.6
"21","1990",17.4,0.5,16.6,13,21.2,25.3,24.9,18.3,14.4,2.6
