"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Fetal losses 5/:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",20.9,0.4,15.1,10.3,21.9,29.3,25.7,29.8,19.8,5.4
"3","2009",21.5,0.4,16.7,11.6,24,31,26.6,29.9,19.7,5.2
"4","2008",22.1,0.5,17.8,12.6,25.6,32.3,27.3,30.5,19.8,5.1
"5","2007",22.2,0.5,18.4,13,26.9,33.1,27.7,30.2,19.7,5
"6","2006",22.1,0.6,19.1,14.3,26.9,33,27.6,29.6,19.5,4.8
"7","2005",21,0.6,17.7,12.8,25.7,31.4,26.4,27.9,18.6,4.7
"8","2004",21,0.6,18.5,13.7,26,31.4,26.3,27.4,18.3,4.5
"9","2003",21,0.6,19.1,14.3,26.5,31.6,26.1,27.4,18.2,4.4
"10","2002",21.1,0.7,20.3,15.2,28.1,32.3,25.9,26.9,17.5,4.3
"11","2001",21.6,0.8,21.9,16.8,29.7,33.8,25.8,26.9,17.4,4.1
"12","2000",22.2,0.9,23.8,18.8,31.2,35.7,25.8,26.9,17.3,4.1
"13","1999",20.9,0.9,22.7,18,29.6,36.1,24.4,21.9,17,3.8
"14","1998",21.3,1,24.1,19.7,30.7,36.2,24.5,22.1,16.9,3.9
"15","1997",21.1,1.1,25.1,21.1,31.3,35.3,23.8,21.8,16.4,3.8
"16","1996",21.2,1.3,26.2,22.5,32.1,34.8,23.7,21.6,16.2,3.5
"17","1995",21.8,1.5,27.9,24.4,33.3,35,24.1,22,16,3.5
"18","1994",23.1,1.6,30.4,26.8,36,37.3,25.5,22.7,16.2,3.4
"19","1993",24.1,1.6,31.7,28.2,37,39.3,26.7,23.3,16.4,3.4
"20","1992",24.8,1.7,32.7,28.8,38.5,40.9,27.6,23.4,16.2,3.2
"21","1991",25.4,1.7,33.7,29.9,38.8,41.9,28.2,23.6,16,3.2
