"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Fetal losses 5/:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",17.9,0.3,16.6,12.1,23.2,23.8,18.2,20.8,20.4,5.4
"3","2009",19.2,0.4,19,14,26.5,26.4,19.5,21.7,20.7,5.5
"4","2008",20.5,0.4,21.1,15.8,29.2,29,20.7,22.7,21.3,5.5
"5","2007",21.5,0.4,22.5,16.7,32,31,21.7,23.4,21.7,5.4
"6","2006",21.6,0.5,23.1,16.9,33,31.4,21.8,23.2,21.5,5.4
"7","2005",21.2,0.5,22.9,17.2,31.9,30.4,21.4,22.8,21,5.3
"8","2004",21,0.5,23.4,17.8,32,30,21.1,22.3,20.6,5.1
"9","2003",20.9,0.5,23.5,17.9,32,30,20.9,21.9,19.8,5
"10","2002",20.7,0.5,24.2,18.5,32.6,30,20.6,21.2,19.2,4.8
"11","2001",20.9,0.6,25.3,19.5,33.7,30.3,20.5,21.1,18.9,4.8
"12","2000",21,0.6,26.3,20.8,34,30.4,20.4,20.9,18.4,4.7
"13","1999",19,0.6,24.4,19.8,31,23.5,21.3,18.9,17.2,4.3
"14","1998",19.1,0.7,24.8,20.3,31.4,23.8,21.4,18.5,16.8,4.4
"15","1997",19.3,0.7,25.4,21.2,31.7,24.3,21.6,18.4,16.8,4.3
"16","1996",20,0.8,26.8,22.3,33.5,25.4,22.1,18.7,17,4.3
"17","1995",20.2,0.9,28.2,23.7,34.8,25.7,22,18.5,16.9,4.3
"18","1994",20.5,0.9,28.7,24.3,35.3,26.3,22.3,18.7,16.8,4.3
"19","1993",20.9,0.9,28.8,23.8,36.1,26.9,22.9,19.1,17,4.3
"20","1992",21.4,0.9,29.1,23.9,36.8,27.7,23.3,19.4,17.5,4.4
"21","1991",21.5,0.8,29.4,24,37.2,27.6,23.5,19.5,17.3,4.3
