"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","Fetal losses 5/:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2010",15.5,0.1,6.7,3.7,10.9,17.2,24,21.9,20.1,4.5
"3","2009",15.8,0.1,7.3,4.1,11.8,18.2,24.3,21.8,20.2,4.5
"4","2008",16.1,0.1,7.7,4.3,12.4,19,24.9,22.1,20.6,4.4
"5","2007",16.3,0.1,7.8,4.4,12.9,19.5,25.4,22.2,21.1,4.2
"6","2006",16.1,0.1,7.7,4.4,12.6,19.5,25.5,21.9,21.3,4.2
"7","2005",15.8,0.1,7.5,4.3,12.3,19,25.3,21.5,21,4
"8","2004",15.7,0.1,7.7,4.5,12.5,19,25.4,21.5,20.5,4
"9","2003",15.7,0.1,7.9,4.7,12.8,19.3,25.6,21.5,19.8,3.9
"10","2002",15.4,0.1,8.3,4.9,13.3,19.4,25,20.8,18.7,3.7
"11","2001",15.4,0.1,8.8,5.2,14,20,24.9,20.7,18.1,3.6
"12","2000",15.6,0.1,9.5,5.9,14.7,20.9,24.8,20.4,17.7,3.5
"13","1999",15.2,0.1,9.3,5.9,14.2,20.8,23.7,20.2,16.9,3.3
"14","1998",15.1,0.1,9.6,6.4,14.6,20.9,23.5,19.7,16.5,3.2
"15","1997",14.9,0.1,9.9,6.7,14.9,20.6,22.9,19,15.8,3.1
"16","1996",14.9,0.1,10.3,7.2,15.3,20.6,22.9,18.7,15.4,2.9
"17","1995",14.9,0.2,10.8,7.6,15.8,20.6,23,18.4,14.9,2.8
"18","1994",15,0.2,11.2,7.9,16.2,20.8,23.3,18.1,14.6,2.7
"19","1993",15.1,0.2,11.2,7.9,16.2,21.1,23.7,17.8,14.1,2.5
"20","1992",15.2,0.2,11.4,7.9,16.7,21.5,24.2,17.7,13.8,2.4
"21","1991",15.4,0.2,11.8,8.2,16.9,21.9,24.5,17.5,13.7,2.2
