"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","2009",102.1,1.2,65.3,36.4,106.3,153.8,162,138,77,19.2
"2","2008",105.5,1.4,69.8,39.5,114.2,163,167.9,141.2,78.5,18.8
"3","2007",107,1.5,71.9,40.6,119.6,167.5,171.8,142.5,79.5,18.3
"4","2006",106.6,1.5,72.1,40.9,120.2,169,172.9,140.8,79.7,18
"5","2005",103.7,1.6,70.2,40.2,116.2,163.4,170.5,137.5,77.7,17.5
"6","2004",104.1,1.6,71.9,41.4,117.6,164.8,174.5,135.1,77.2,17.3
"7","2003",103.7,1.6,73.6,42.9,119.9,166.6,172,136.6,73.7,16.8
"8","2002",102.6,1.7,76.3,44.5,124.4,168.9,170,133,70.4,16.2
"9","2001",103.1,1.8,80.8,47.1,130.8,173.7,169.1,131.9,68.8,15.7
"10","2000",104.5,2,85.8,51.6,135.8,180.7,168.9,131.1,67.5,15.4
"11","1999",102.2,2.1,86.9,53.1,136.6,177.8,166,125.1,64.7,14.6
"12","1998",102.2,2.3,90.1,56.7,140.3,178.9,164.7,122.4,63.3,14.4
"13","1997",101.6,2.4,92.7,59.5,144.3,178.7,162.5,119.5,61.4,13.9
"14","1996",102.8,2.7,97,63.4,149,180.5,163.2,118.4,60.6,13.5
"15","1995",103.5,2.9,101.1,67.4,153.4,179.8,162.8,117,59.1,13.1
"16","1994",106.1,3.2,106.1,71.1,159.6,184.8,166.1,116.7,58.5,12.9
"17","1993",108.8,3.2,109.4,72.7,164.1,190.4,169.8,116.6,57.7,12.4
"18","1992",111.1,3.3,112.3,73.5,169.3,194.3,173.1,116.6,57.4,12
"19","1991",112.7,3.3,116.4,76.1,172.1,196.8,174.9,116.2,56.8,11.3
"20","1990",115.8,3.4,116.8,77.1,167.7,198.5,179,118.8,56.9,11.4
