"","year","total","Under.15","X15.19","X15.17","X18.19","X20.24","X25.29","X30.34","X35.39","X40.44"
"1","2010",84.1,0.4,38.8,18.3,67.4,111.5,143.7,130.9,70.1,17
"2","2009",85.7,0.5,42.6,20.5,73.5,118.1,145.3,130.6,70.7,16.7
"3","2008",87.5,0.5,44.8,21.6,78,124.2,149.8,132.5,71.9,16.2
"4","2007",88.1,0.5,45.9,22.3,81.3,127.2,152.6,133.2,73.4,15.7
"5","2006",87.3,0.5,45.4,22.4,80.4,127.5,152.9,131.4,74.3,15.5
"6","2005",85.4,0.6,44.6,21.9,79,124.1,151.9,129.3,73,15.1
"7","2004",85.3,0.6,45.8,22.8,80.1,124.4,152.7,129.3,71.5,15
"8","2003",85.5,0.6,47.7,24.2,82.9,126.7,153.5,129.7,69.1,14.7
"9","2002",83.9,0.6,49.6,25.4,86.3,127.6,150.9,125.7,65.3,14
"10","2001",84.4,0.6,52.9,27.3,91.4,131.9,150.1,124.9,63.7,13.6
"11","2000",85.7,0.7,56.9,30.2,96.4,138.1,150.4,123.7,62.5,13.4
"12","1999",84.8,0.8,59,32.4,98.2,137.7,148.9,119.9,60.3,12.9
"13","1998",85.2,0.9,61.8,35.4,101.8,139.8,148.3,117.3,59.1,12.6
"14","1997",84.8,1,64.5,37.9,106.1,140,146,114,57,12
"15","1996",85.6,1,67.2,40.3,109.1,141.1,146.6,112.3,56,11.7
"16","1995",86.6,1.2,70.6,43,113.7,142.4,147.4,110.9,54.4,11.2
"17","1994",88,1.2,73.4,44.7,117.4,144.9,149.2,109.7,53.4,10.9
"18","1993",90,1.3,75.9,46,120.8,149.5,152.3,108.7,52.2,10.4
"19","1992",92,1.3,78.3,46.6,125.3,152.8,155.6,108.2,51.5,10
"20","1991",94.4,1.3,83.8,50.1,130.4,157.6,158.9,108.2,51.3,9.3
