All pregnancies:,,,,,,,,,,
2010,84.1,0.4,38.8,18.3,67.4,111.5,143.7,130.9,70.1,17
2009,85.7,0.5,42.6,20.5,73.5,118.1,145.3,130.6,70.7,16.7
2008,87.5,0.5,44.8,21.6,78,124.2,149.8,132.5,71.9,16.2
2007,88.1,0.5,45.9,22.3,81.3,127.2,152.6,133.2,73.4,15.7
2006,87.3,0.5,45.4,22.4,80.4,127.5,152.9,131.4,74.3,15.5
2005,85.4,0.6,44.6,21.9,79,124.1,151.9,129.3,73,15.1
2004,85.3,0.6,45.8,22.8,80.1,124.4,152.7,129.3,71.5,15
2003,85.5,0.6,47.7,24.2,82.9,126.7,153.5,129.7,69.1,14.7
2002,83.9,0.6,49.6,25.4,86.3,127.6,150.9,125.7,65.3,14
2001,84.4,0.6,52.9,27.3,91.4,131.9,150.1,124.9,63.7,13.6
2000,85.7,0.7,56.9,30.2,96.4,138.1,150.4,123.7,62.5,13.4
1999,84.8,0.8,59,32.4,98.2,137.7,148.9,119.9,60.3,12.9
1998,85.2,0.9,61.8,35.4,101.8,139.8,148.3,117.3,59.1,12.6
1997,84.8,1,64.5,37.9,106.1,140,146,114,57,12
1996,85.6,1,67.2,40.3,109.1,141.1,146.6,112.3,56,11.7
1995,86.6,1.2,70.6,43,113.7,142.4,147.4,110.9,54.4,11.2
1994,88,1.2,73.4,44.7,117.4,144.9,149.2,109.7,53.4,10.9
1993,90,1.3,75.9,46,120.8,149.5,152.3,108.7,52.2,10.4
1992,92,1.3,78.3,46.6,125.3,152.8,155.6,108.2,51.5,10
1991,94.4,1.3,83.8,50.1,130.4,157.6,158.9,108.2,51.3,9.3
1990,98.3,1.4,86.8,52.5,129.8,162.1,164,110.9,51.4,9.4
Live births:,,,,,,,,,,
2010,58.7,0.2,23.5,10,42.5,74.9,105.8,99.9,44.1,9.9
2009,59.6,0.2,25.7,11,46.2,79.2,107.1,99.7,44.4,9.8
2008,60.5,0.2,26.7,11.6,48.6,82.8,109.7,100.8,45.2,9.6
2007,61,0.2,27.2,11.9,50.4,85.1,112,101.5,46.3,9.3
2006,60.3,0.2,26.7,11.8,49.4,85.1,112.2,100,46.8,9.1
2005,59,0.2,26,11.5,48,82.7,111.7,98.4,46,8.9
2004,58.9,0.2,26.7,12,48.6,83,112.1,98.3,45.1,8.8
2003,58.9,0.2,27.4,12.4,50,84.1,112.7,98.4,43.5,8.6
2002,57.6,0.2,28.6,13.1,52,84.7,110.3,95,40.9,8.1
2001,57.7,0.3,30.3,14,54.7,87,109.6,94.3,39.8,7.9
2000,58.5,0.3,32.6,15.8,57.5,91.2,109.4,93.2,38.8,7.7
1999,57.7,0.3,34.1,17.1,59.4,90.6,108.6,89.5,37.3,7.3
1998,57.6,0.3,35.3,18.3,60.9,91.2,107.4,87.2,36.4,7.1
1997,56.8,0.4,36,19.3,62.1,90,104.8,84.3,34.8,6.8
1996,57.1,0.4,37.6,20.6,64,90.1,104.9,82.8,33.9,6.5
1995,57.5,0.4,39.3,22,66.2,90.2,105.1,81.5,32.8,6.1
1994,58.2,0.5,40.4,22.7,67.6,90.9,106.6,80.2,32,5.9
1993,58.9,0.5,40.7,22.7,67.7,92.2,108.2,79,31,5.6
1992,60,0.5,41.6,22.7,69.7,93.8,110.7,78.3,30.4,5.3
1991,60.9,0.5,43.3,23.6,70.5,95.7,112.2,77.7,30.2,4.8
1990,62.8,0.5,42.6,23.3,66.9,97.9,115.3,79.2,29.9,4.8
Induced abortions:,,,,,,,,,,
2010,9.8,0.2,8.5,4.6,14,19.4,13.9,9.1,5.8,2.5
2009,10.2,0.2,9.6,5.3,15.5,20.8,14,9.1,6.1,2.4
2008,10.9,0.2,10.4,5.7,17,22.5,15.3,9.7,6.1,2.2
2007,10.8,0.2,10.8,6,18,22.6,15.2,9.5,6,2.2
2006,10.9,0.2,11,6.2,18.4,22.9,15.3,9.5,6.3,2.2
2005,10.6,0.3,11.1,6.1,18.7,22.4,14.9,9.4,6.1,2.2
2004,10.6,0.3,11.4,6.3,19,22.4,15.1,9.5,5.8,2.1
2003,10.9,0.3,12.3,7.2,20.1,23.3,15.3,9.8,5.9,2.2
2002,10.9,0.3,12.7,7.3,21,23.4,15.5,9.9,5.7,2.2
2001,11.3,0.3,13.9,8,22.7,24.9,15.7,10,5.8,2.1
2000,11.7,0.3,14.8,8.5,24.1,26,16.2,10.2,6,2.2
1999,11.9,0.4,15.5,9.4,24.6,26.3,16.6,10.2,6.1,2.2
1998,12.5,0.4,16.9,10.7,26.3,27.7,17.5,10.4,6.3,2.2
1997,13.2,0.5,18.6,11.8,29.1,29.4,18.3,10.7,6.4,2.2
1996,13.6,0.5,19.3,12.6,29.8,30.3,18.8,10.8,6.7,2.3
1995,14.2,0.6,20.5,13.4,31.6,31.6,19.3,11.1,6.7,2.3
1994,14.8,0.6,21.8,14.1,33.7,33.2,19.2,11.4,6.7,2.3
1993,16.1,0.6,24,15.4,36.9,36.2,20.4,11.9,7.1,2.3
1992,16.7,0.7,25.3,16,38.9,37.5,20.8,12.2,7.2,2.3
1991,18.1,0.7,28.7,18.3,43,40,22.2,13,7.5,2.2
1990,19.7,0.8,32.5,21.1,46.8,41.9,23.4,13.8,7.9,2.4
Fetal losses 5/:,,,,,,,,,,
2010,15.5,0.1,6.7,3.7,10.9,17.2,24,21.9,20.1,4.5
2009,15.8,0.1,7.3,4.1,11.8,18.2,24.3,21.8,20.2,4.5
2008,16.1,0.1,7.7,4.3,12.4,19,24.9,22.1,20.6,4.4
2007,16.3,0.1,7.8,4.4,12.9,19.5,25.4,22.2,21.1,4.2
2006,16.1,0.1,7.7,4.4,12.6,19.5,25.5,21.9,21.3,4.2
2005,15.8,0.1,7.5,4.3,12.3,19,25.3,21.5,21,4
2004,15.7,0.1,7.7,4.5,12.5,19,25.4,21.5,20.5,4
2003,15.7,0.1,7.9,4.7,12.8,19.3,25.6,21.5,19.8,3.9
2002,15.4,0.1,8.3,4.9,13.3,19.4,25,20.8,18.7,3.7
2001,15.4,0.1,8.8,5.2,14,20,24.9,20.7,18.1,3.6
2000,15.6,0.1,9.5,5.9,14.7,20.9,24.8,20.4,17.7,3.5
1999,15.2,0.1,9.3,5.9,14.2,20.8,23.7,20.2,16.9,3.3
1998,15.1,0.1,9.6,6.4,14.6,20.9,23.5,19.7,16.5,3.2
1997,14.9,0.1,9.9,6.7,14.9,20.6,22.9,19,15.8,3.1
1996,14.9,0.1,10.3,7.2,15.3,20.6,22.9,18.7,15.4,2.9
1995,14.9,0.2,10.8,7.6,15.8,20.6,23,18.4,14.9,2.8
1994,15,0.2,11.2,7.9,16.2,20.8,23.3,18.1,14.6,2.7
1993,15.1,0.2,11.2,7.9,16.2,21.1,23.7,17.8,14.1,2.5
1992,15.2,0.2,11.4,7.9,16.7,21.5,24.2,17.7,13.8,2.4
1991,15.4,0.2,11.8,8.2,16.9,21.9,24.5,17.5,13.7,2.2
1990,15.8,0.2,11.6,8.1,16,22.4,25.2,17.9,13.6,2.2
